employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,average_montly_hours
469,Technology,region_2,Bachelor's,f,sourcing,1,57,3.0,19,0,81.0,0,172
14847,Sales & Marketing,region_20,Bachelor's,m,other,1,28,3.0,3,0,48.0,0,210
5128,Operations,region_2,,m,other,1,48,3.0,8,0,57.0,0,188
8284,Sales & Marketing,region_2,Bachelor's,f,other,1,34,5.0,5,0,60.0,1,252
11337,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,37,5.0,2,0,54.0,0,196
4585,Analytics,region_15,Bachelor's,m,sourcing,1,35,5.0,3,0,81.0,0,214
6587,Procurement,region_13,Bachelor's,m,other,1,29,,1,0,69.0,0,207
1901,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,31,3.0,4,0,53.0,0,127
1497,Sales & Marketing,region_10,Master's & above,f,other,1,37,3.0,6,0,47.0,0,259
11488,Sales & Marketing,region_7,Master's & above,m,other,1,42,3.0,12,0,48.0,0,207
9002,Operations,region_2,Bachelor's,m,sourcing,1,37,5.0,5,0,64.0,0,245
9192,Operations,region_21,Bachelor's,m,other,1,28,,1,0,,0,184
3171,Operations,region_4,Master's & above,f,referred,1,32,4.0,7,0,59.0,0,229
7908,Technology,region_33,Master's & above,m,other,1,46,3.0,17,0,83.0,0,169
6711,Sales & Marketing,region_6,,m,sourcing,1,23,3.0,2,0,51.0,0,180
5132,Operations,region_2,Bachelor's,m,sourcing,4,31,3.0,6,0,59.0,0,228
10452,Analytics,region_2,Bachelor's,m,other,2,26,3.0,2,0,91.0,0,231
11123,Sales & Marketing,region_29,Master's & above,m,other,1,37,3.0,7,0,54.0,0,131
3540,Technology,region_22,Master's & above,f,sourcing,1,30,3.0,2,0,79.0,0,217
137,Analytics,region_7,Master's & above,m,other,1,49,4.0,5,0,90.0,0,283
10002,HR,region_2,Below Secondary,m,sourcing,1,24,,1,0,52.0,0,162
12538,Operations,region_14,Bachelor's,m,other,1,35,5.0,10,0,59.0,1,294
5640,Analytics,region_2,Bachelor's,m,sourcing,1,29,,1,0,88.0,0,141
5933,Technology,region_5,Master's & above,f,sourcing,1,32,1.0,5,0,77.0,0,162
11666,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,5.0,7,0,49.0,0,199
10167,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,46,1.0,5,0,50.0,0,157
10360,Operations,region_6,Bachelor's,m,sourcing,1,38,4.0,8,0,55.0,0,215
12930,Finance,region_2,Bachelor's,f,other,1,39,4.0,11,0,59.0,0,207
1830,Technology,region_2,Master's & above,m,sourcing,1,39,2.0,4,0,81.0,0,258
6181,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,34,5.0,5,0,49.0,0,192
9025,Operations,region_16,Bachelor's,m,other,1,30,5.0,4,0,55.0,0,144
805,Operations,region_22,Bachelor's,m,sourcing,1,30,4.0,4,0,59.0,0,266
10468,Procurement,region_7,Bachelor's,m,sourcing,2,33,5.0,4,0,71.0,0,190
6788,Sales & Marketing,region_2,,f,other,2,40,,1,0,51.0,0,171
10389,Operations,region_7,Bachelor's,m,other,3,40,3.0,11,0,60.0,0,191
633,Sales & Marketing,region_17,Bachelor's,f,sourcing,1,26,3.0,2,0,49.0,0,260
3968,Procurement,region_10,Bachelor's,m,other,1,28,3.0,4,0,65.0,0,217
1709,HR,region_7,Bachelor's,f,sourcing,1,30,3.0,3,0,51.0,0,146
1588,Operations,region_15,Master's & above,m,other,1,59,4.0,4,0,56.0,0,281
573,R&D,region_22,Bachelor's,f,other,1,29,,1,0,86.0,0,138
9098,Procurement,region_7,Bachelor's,f,other,1,26,3.0,2,0,69.0,0,218
8027,Technology,region_31,Bachelor's,m,other,1,27,2.0,3,0,78.0,0,215
4857,Analytics,region_28,Bachelor's,m,other,1,36,5.0,3,0,91.0,1,253
6731,R&D,region_29,Bachelor's,m,sourcing,1,30,5.0,1,0,96.0,1,240
4147,Procurement,region_22,Master's & above,m,sourcing,1,40,3.0,12,0,70.0,0,140
10936,Operations,region_12,Bachelor's,m,other,1,30,4.0,4,0,57.0,0,271
10345,Sales & Marketing,region_22,Master's & above,m,other,2,38,1.0,8,0,47.0,0,195
333,Finance,region_22,Master's & above,m,other,1,32,3.0,8,0,58.0,0,225
1825,Legal,region_2,Bachelor's,m,other,1,33,1.0,6,0,66.0,0,196
5272,Operations,region_2,Below Secondary,f,sourcing,1,24,,1,0,73.0,1,187
4566,Analytics,region_2,Bachelor's,m,other,2,31,3.0,2,0,84.0,0,132
8386,Sales & Marketing,region_17,Master's & above,m,other,1,35,3.0,3,0,47.0,0,156
11943,Technology,region_27,Bachelor's,f,referred,1,30,,1,0,76.0,0,273
10122,Sales & Marketing,region_30,Bachelor's,m,other,7,26,2.0,5,0,46.0,0,255
3491,Analytics,region_12,Bachelor's,m,sourcing,1,28,2.0,5,0,85.0,0,128
9072,Sales & Marketing,region_14,Master's & above,m,other,1,33,4.0,3,0,94.0,1,244
14939,Sales & Marketing,region_27,Master's & above,m,other,1,47,1.0,3,0,,0,148
13888,Sales & Marketing,region_11,Bachelor's,m,other,1,42,3.0,2,0,48.0,0,198
8470,Sales & Marketing,region_22,Master's & above,m,other,1,33,4.0,5,0,46.0,0,168
4464,Procurement,region_31,Bachelor's,f,other,2,29,3.0,4,0,71.0,0,174
109,Technology,region_27,,m,sourcing,2,28,3.0,2,0,79.0,0,167
4445,Operations,region_22,Bachelor's,f,sourcing,1,37,3.0,5,0,59.0,0,193
9763,Operations,region_20,Bachelor's,m,other,1,25,4.0,3,0,58.0,0,171
7717,Analytics,region_20,Bachelor's,m,other,2,30,2.0,3,0,82.0,0,166
11028,Operations,region_16,Bachelor's,m,sourcing,1,44,5.0,4,0,60.0,0,214
6425,Procurement,region_24,Master's & above,f,other,1,31,1.0,6,0,70.0,0,187
13047,Technology,region_33,Bachelor's,f,other,1,35,4.0,3,0,77.0,0,184
14988,Operations,region_2,Bachelor's,m,sourcing,1,48,2.0,4,0,58.0,0,192
12936,HR,region_2,Bachelor's,m,other,2,32,3.0,5,0,49.0,0,224
2221,Finance,region_2,Master's & above,f,other,2,35,5.0,4,0,59.0,0,138
11796,Procurement,region_27,Bachelor's,m,sourcing,5,37,3.0,9,0,64.0,0,262
5303,Sales & Marketing,region_34,Bachelor's,m,other,1,26,,1,0,48.0,0,142
14189,Sales & Marketing,region_15,Master's & above,m,sourcing,1,38,1.0,10,0,50.0,0,161
8174,Sales & Marketing,region_16,Master's & above,m,other,1,35,1.0,4,0,48.0,0,220
7814,R&D,region_22,Bachelor's,m,sourcing,3,30,5.0,2,0,85.0,0,206
11855,Sales & Marketing,region_11,Master's & above,m,other,1,39,4.0,4,0,,0,250
1412,Technology,region_31,Bachelor's,m,other,1,33,4.0,6,1,81.0,0,143
13825,Operations,region_22,Bachelor's,f,sourcing,1,24,5.0,2,0,55.0,0,221
11349,Sales & Marketing,region_26,Bachelor's,m,other,2,25,3.0,2,0,,0,129
6099,Sales & Marketing,region_22,,f,sourcing,1,27,,1,0,48.0,0,155
14781,Finance,region_7,Bachelor's,m,sourcing,1,31,3.0,4,0,64.0,0,188
14576,HR,region_14,Bachelor's,m,other,1,39,3.0,11,0,53.0,0,219
3124,Procurement,region_26,Bachelor's,f,other,1,25,2.0,2,0,66.0,0,140
5283,Operations,region_2,Bachelor's,m,other,1,27,4.0,3,0,59.0,0,234
10067,Sales & Marketing,region_11,Bachelor's,m,other,1,47,4.0,6,0,51.0,0,223
3225,Operations,region_8,Bachelor's,m,other,1,35,5.0,9,0,58.0,0,161
4310,Sales & Marketing,region_10,Master's & above,f,sourcing,1,32,2.0,5,0,56.0,0,160
10377,Sales & Marketing,region_22,,m,sourcing,1,26,4.0,2,0,53.0,0,154
701,Sales & Marketing,region_32,Bachelor's,f,other,1,27,1.0,4,0,53.0,0,143
3440,Sales & Marketing,region_27,Bachelor's,m,other,1,29,5.0,5,0,52.0,0,271
1159,Procurement,region_2,Master's & above,f,other,1,37,3.0,3,0,72.0,0,219
14262,Technology,region_23,Master's & above,m,sourcing,1,43,2.0,7,0,77.0,0,152
2732,Analytics,region_22,Master's & above,m,other,2,30,3.0,6,0,80.0,0,248
11310,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,28,4.0,4,0,,0,158
5366,Finance,region_12,Bachelor's,m,other,1,31,2.0,5,0,60.0,0,175
11811,Technology,region_7,Master's & above,f,other,1,39,4.0,4,0,78.0,1,270
5108,Technology,region_26,Bachelor's,f,sourcing,1,38,2.0,5,0,79.0,0,230
3144,Sales & Marketing,region_22,Master's & above,m,sourcing,1,44,1.0,9,0,54.0,0,197
9431,Technology,region_22,Master's & above,f,sourcing,1,35,1.0,4,0,81.0,0,144
354,Operations,region_22,Bachelor's,m,other,1,32,2.0,5,0,62.0,0,135
7340,Operations,region_2,Master's & above,f,sourcing,2,51,5.0,16,0,62.0,0,206
8698,Operations,region_13,Bachelor's,f,sourcing,1,29,5.0,2,0,60.0,0,171
8229,Technology,region_7,Bachelor's,f,other,2,32,3.0,6,0,79.0,0,136
7348,Operations,region_4,Master's & above,m,sourcing,2,35,3.0,9,0,56.0,0,141
12976,Operations,region_4,Bachelor's,f,other,1,26,3.0,5,0,60.0,0,166
645,Operations,region_7,Master's & above,f,sourcing,1,38,3.0,9,0,62.0,0,238
604,Technology,region_26,Bachelor's,m,other,1,35,1.0,6,0,77.0,1,245
3290,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,29,1.0,5,0,48.0,0,216
4616,Technology,region_27,Bachelor's,f,sourcing,1,35,1.0,4,0,83.0,0,261
495,Sales & Marketing,region_27,Bachelor's,m,other,1,40,2.0,10,0,49.0,0,218
14067,Procurement,region_7,Bachelor's,f,other,1,29,5.0,4,0,72.0,1,261
396,Procurement,region_4,Master's & above,f,other,1,34,4.0,7,0,70.0,0,204
3116,Technology,region_33,Bachelor's,m,other,1,47,3.0,16,0,80.0,0,130
3473,Operations,region_16,Bachelor's,m,other,1,29,3.0,3,0,66.0,0,132
2367,Analytics,region_13,Bachelor's,m,other,1,26,3.0,4,0,85.0,0,199
12721,Technology,region_22,Bachelor's,m,sourcing,1,33,5.0,2,0,79.0,0,174
8926,Sales & Marketing,region_31,,m,sourcing,1,25,4.0,3,0,47.0,0,152
8245,Procurement,region_7,Master's & above,f,sourcing,2,50,5.0,13,0,69.0,0,136
4733,Technology,region_16,Bachelor's,f,other,2,28,3.0,3,0,82.0,0,178
12469,Procurement,region_15,Bachelor's,m,other,1,44,5.0,5,0,72.0,0,196
7977,Legal,region_2,Bachelor's,m,sourcing,1,30,,1,0,63.0,0,145
8865,Sales & Marketing,region_4,Bachelor's,m,other,1,40,3.0,4,0,52.0,0,221
14961,Technology,region_13,Bachelor's,m,sourcing,1,28,3.0,5,0,77.0,0,257
8828,Analytics,region_7,Bachelor's,m,other,2,32,3.0,7,0,85.0,0,122
6751,Sales & Marketing,region_28,Master's & above,m,other,1,36,3.0,2,0,,1,194
9055,Operations,region_2,Bachelor's,f,other,1,47,3.0,17,0,55.0,0,141
5153,Analytics,region_29,Bachelor's,m,sourcing,1,33,1.0,2,0,87.0,0,133
6428,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,32,1.0,5,0,50.0,0,137
12122,HR,region_32,Bachelor's,f,sourcing,1,29,3.0,5,0,50.0,0,174
986,Technology,region_26,Bachelor's,f,sourcing,1,26,,1,0,79.0,0,142
710,Analytics,region_22,Bachelor's,m,other,1,28,,1,0,86.0,1,270
1060,Operations,region_2,Bachelor's,m,sourcing,1,57,3.0,14,0,,0,168
10420,Operations,region_22,Bachelor's,f,other,1,31,3.0,2,0,58.0,0,207
9376,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,36,3.0,13,0,52.0,0,212
9644,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,30,3.0,5,0,46.0,0,113
6104,Operations,region_22,Bachelor's,m,sourcing,1,27,5.0,4,0,68.0,1,287
12,Technology,region_31,Bachelor's,m,other,1,24,3.0,2,0,77.0,0,305
1595,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,28,,1,0,49.0,0,229
5106,Procurement,region_7,Bachelor's,m,sourcing,1,33,5.0,6,0,72.0,0,179
9840,HR,region_25,Bachelor's,m,other,1,28,4.0,2,1,49.0,0,101
6511,Analytics,region_7,Bachelor's,m,sourcing,2,29,5.0,2,0,86.0,1,271
11715,Analytics,region_31,Bachelor's,m,other,2,28,2.0,2,0,83.0,0,178
11966,Analytics,region_17,Bachelor's,m,other,3,29,3.0,4,0,81.0,0,206
2292,Analytics,region_7,Bachelor's,f,sourcing,1,34,1.0,3,0,83.0,0,135
4523,Operations,region_8,Master's & above,m,sourcing,1,38,3.0,5,0,,0,190
7120,Operations,region_7,Bachelor's,m,other,1,34,4.0,4,0,,0,108
12795,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,19,0,74.0,0,189
12849,Sales & Marketing,region_2,Bachelor's,m,other,2,35,1.0,9,0,50.0,0,257
6704,Sales & Marketing,region_15,Bachelor's,m,other,1,40,3.0,12,0,47.0,1,266
14018,Operations,region_13,Bachelor's,f,other,1,29,4.0,3,0,59.0,0,141
13211,Procurement,region_2,Bachelor's,m,other,2,54,3.0,16,0,73.0,0,156
13560,R&D,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,79.0,0,142
10727,Procurement,region_22,Master's & above,f,other,1,35,2.0,3,0,70.0,0,189
7324,Analytics,region_1,Bachelor's,m,sourcing,2,27,5.0,4,1,78.0,0,105
8422,Operations,region_22,Bachelor's,m,other,1,27,4.0,4,0,62.0,0,123
6629,Technology,region_2,Bachelor's,m,sourcing,1,31,3.0,5,0,83.0,0,163
5443,Operations,region_2,Bachelor's,m,other,2,28,5.0,7,0,63.0,0,125
10225,Operations,region_13,Bachelor's,m,other,1,31,3.0,7,0,,0,171
404,Operations,region_15,Bachelor's,m,referred,1,36,4.0,7,0,58.0,0,240
13038,Legal,region_7,Master's & above,m,sourcing,1,54,3.0,7,1,54.0,0,182
12230,Sales & Marketing,region_11,Bachelor's,m,other,1,31,3.0,8,0,50.0,0,140
180,Analytics,region_29,Bachelor's,m,sourcing,1,27,4.0,3,0,86.0,0,207
14613,Operations,region_2,,f,sourcing,1,43,3.0,4,0,64.0,0,147
14584,Operations,region_4,Master's & above,m,sourcing,1,34,3.0,7,0,59.0,0,141
3581,Sales & Marketing,region_4,Bachelor's,m,sourcing,2,31,4.0,9,0,52.0,0,250
8424,Operations,region_15,Master's & above,m,sourcing,2,44,5.0,11,0,92.0,1,223
5639,Procurement,region_13,Master's & above,f,other,1,30,1.0,2,0,66.0,0,139
6759,Technology,region_27,Bachelor's,m,referred,1,27,4.0,4,0,78.0,0,231
8611,Technology,region_2,,f,other,1,60,3.0,31,0,82.0,0,143
14000,Sales & Marketing,region_13,Master's & above,m,other,1,35,4.0,3,0,44.0,0,166
9641,Procurement,region_7,Bachelor's,m,other,1,29,3.0,3,0,71.0,0,201
11330,Sales & Marketing,region_2,Bachelor's,m,referred,1,32,5.0,5,0,46.0,0,187
8874,Operations,region_2,Master's & above,f,sourcing,2,48,3.0,21,0,58.0,0,169
2991,Operations,region_4,Master's & above,f,other,1,45,4.0,18,0,59.0,0,144
14594,Sales & Marketing,region_13,Master's & above,f,sourcing,1,34,1.0,2,0,50.0,0,144
312,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,35,3.0,9,0,,1,300
14715,Technology,region_7,Bachelor's,m,sourcing,2,29,5.0,2,0,83.0,0,226
1571,Operations,region_2,Master's & above,m,sourcing,1,57,4.0,16,0,64.0,0,139
6284,Operations,region_14,Bachelor's,m,sourcing,1,27,5.0,3,0,60.0,0,236
1570,Operations,region_13,Bachelor's,m,other,1,34,3.0,3,0,68.0,1,257
7820,Sales & Marketing,region_2,Master's & above,m,other,1,40,3.0,5,0,49.0,0,179
5974,Finance,region_2,Bachelor's,m,other,1,28,3.0,6,0,59.0,0,151
7614,Technology,region_4,Bachelor's,m,other,2,30,5.0,5,0,86.0,0,163
9710,Operations,region_7,Bachelor's,m,other,1,29,4.0,4,0,,0,181
11700,Analytics,region_22,Bachelor's,m,sourcing,2,31,3.0,2,0,87.0,0,162
4747,Technology,region_22,Master's & above,m,referred,3,36,3.0,7,0,80.0,1,248
5628,Sales & Marketing,region_2,Bachelor's,m,referred,1,36,5.0,9,0,52.0,0,146
2639,Operations,region_30,Bachelor's,f,other,1,26,4.0,6,0,60.0,0,229
11411,Operations,region_26,Bachelor's,m,sourcing,1,29,3.0,3,0,65.0,0,135
6405,HR,region_2,Master's & above,f,sourcing,1,51,5.0,16,0,52.0,0,138
14571,Technology,region_16,Bachelor's,f,sourcing,1,32,1.0,7,0,86.0,0,148
8781,Technology,region_13,Bachelor's,m,other,1,29,3.0,2,0,76.0,0,229
4905,Sales & Marketing,region_28,Master's & above,m,other,1,35,4.0,2,0,54.0,0,163
3907,Procurement,region_22,Bachelor's,f,other,1,34,5.0,2,0,65.0,1,284
11908,Sales & Marketing,region_7,Master's & above,f,other,1,33,2.0,4,0,51.0,0,134
13939,Operations,region_22,Master's & above,f,other,1,36,3.0,8,0,59.0,0,222
12297,Operations,region_19,Bachelor's,m,other,1,35,4.0,7,0,60.0,0,163
6543,Procurement,region_10,Master's & above,f,other,1,30,3.0,8,0,69.0,0,251
84,Technology,region_23,Bachelor's,f,sourcing,1,31,3.0,4,0,76.0,0,249
5487,Analytics,region_11,Master's & above,m,sourcing,2,39,4.0,8,0,88.0,0,155
12034,R&D,region_25,Bachelor's,m,sourcing,1,32,3.0,7,0,83.0,0,140
14995,Analytics,region_2,Bachelor's,m,other,1,54,3.0,16,0,82.0,0,151
6475,Procurement,region_22,Bachelor's,f,sourcing,2,27,2.0,3,0,67.0,0,207
11567,Sales & Marketing,region_26,,m,other,1,31,1.0,4,0,48.0,0,204
11214,Analytics,region_2,Bachelor's,m,other,2,35,3.0,7,0,84.0,0,213
2481,Procurement,region_2,Bachelor's,f,other,1,32,4.0,3,0,70.0,0,134
7733,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,1.0,2,0,53.0,0,138
10897,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,26,4.0,3,0,47.0,0,145
1050,Technology,region_24,Bachelor's,m,other,1,30,2.0,7,0,81.0,0,157
7654,Finance,region_15,Bachelor's,m,sourcing,1,34,3.0,3,0,60.0,0,188
7740,R&D,region_2,Bachelor's,m,sourcing,2,33,1.0,4,0,86.0,0,156
3809,Technology,region_3,Bachelor's,m,sourcing,1,26,,1,0,81.0,0,125
14011,Procurement,region_26,Bachelor's,m,other,1,32,3.0,5,0,68.0,0,256
13086,Sales & Marketing,region_7,Bachelor's,m,other,1,32,3.0,4,0,65.0,1,232
9165,Analytics,region_7,Master's & above,m,sourcing,1,35,4.0,5,0,86.0,0,204
9852,Sales & Marketing,region_26,,m,other,1,36,1.0,7,0,46.0,0,199
14727,Operations,region_15,Bachelor's,f,sourcing,1,43,4.0,7,0,53.0,0,193
7147,Procurement,region_8,Master's & above,m,sourcing,1,36,4.0,10,0,72.0,0,184
8674,Operations,region_7,Bachelor's,f,other,2,42,3.0,6,0,,0,139
14767,Procurement,region_2,Bachelor's,f,sourcing,2,29,5.0,4,0,69.0,0,144
4882,HR,region_2,Master's & above,m,sourcing,1,60,5.0,13,0,50.0,0,211
8073,Sales & Marketing,region_22,Bachelor's,m,other,1,36,4.0,5,0,50.0,0,169
71,Analytics,region_2,Bachelor's,m,sourcing,1,36,4.0,6,0,88.0,0,277
98,Technology,region_22,Master's & above,m,other,1,53,1.0,11,0,80.0,0,187
8711,Procurement,region_17,Bachelor's,f,other,1,26,5.0,4,0,86.0,1,302
12912,Sales & Marketing,region_19,Bachelor's,m,other,1,28,3.0,4,0,,0,171
3241,Sales & Marketing,region_16,Bachelor's,m,other,1,42,2.0,14,0,48.0,0,190
9419,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,37,3.0,4,0,50.0,0,194
1234,Technology,region_2,Below Secondary,m,other,3,23,,1,0,82.0,1,263
2484,Analytics,region_11,Bachelor's,m,other,1,28,4.0,5,0,82.0,0,120
865,Sales & Marketing,region_22,Bachelor's,m,other,1,39,5.0,11,0,49.0,0,159
12758,Technology,region_31,Bachelor's,m,other,2,31,3.0,3,0,79.0,0,177
1930,Procurement,region_2,Bachelor's,m,other,2,36,3.0,9,0,67.0,0,156
8665,Operations,region_16,Bachelor's,m,other,1,35,5.0,3,0,59.0,0,213
6583,Sales & Marketing,region_29,Bachelor's,m,other,2,29,4.0,2,0,46.0,0,156
7370,Sales & Marketing,region_21,Bachelor's,m,other,1,48,3.0,4,0,51.0,1,299
10084,Sales & Marketing,region_20,Bachelor's,m,other,1,33,4.0,6,1,52.0,0,138
3101,Analytics,region_11,Bachelor's,m,other,2,30,3.0,4,0,86.0,0,175
5995,Analytics,region_2,Bachelor's,m,other,1,37,1.0,10,0,88.0,0,178
1515,Analytics,region_22,Bachelor's,m,other,1,35,4.0,7,0,82.0,0,179
13252,Operations,region_4,Bachelor's,m,sourcing,1,44,5.0,5,0,63.0,0,245
5714,Sales & Marketing,region_13,Bachelor's,m,other,2,32,2.0,3,0,50.0,0,168
8330,Procurement,region_26,Bachelor's,m,other,2,37,3.0,4,0,69.0,0,259
6367,Sales & Marketing,region_2,Bachelor's,m,other,1,28,2.0,6,0,51.0,0,207
10027,Operations,region_7,Bachelor's,f,sourcing,1,32,4.0,5,0,99.0,1,280
9306,Sales & Marketing,region_2,Bachelor's,m,other,1,34,5.0,6,0,51.0,0,188
10969,Analytics,region_32,Bachelor's,f,other,1,32,2.0,5,0,82.0,0,252
1646,Technology,region_7,Bachelor's,m,other,1,36,2.0,3,0,79.0,0,281
9667,Technology,region_2,Bachelor's,m,other,1,30,1.0,7,0,79.0,0,196
13121,Sales & Marketing,region_9,Bachelor's,m,other,1,20,2.0,2,0,48.0,0,192
10416,Sales & Marketing,region_2,Master's & above,f,sourcing,1,36,4.0,3,0,49.0,0,221
13597,Analytics,region_2,Bachelor's,m,other,1,51,3.0,9,0,81.0,0,141
14658,HR,region_32,Bachelor's,m,sourcing,1,32,3.0,9,0,48.0,0,154
12847,Technology,region_22,Bachelor's,m,other,1,37,3.0,7,0,77.0,0,270
11194,Procurement,region_15,Master's & above,m,sourcing,2,36,5.0,9,0,64.0,0,226
4985,Operations,region_7,Master's & above,m,sourcing,1,51,3.0,17,0,59.0,0,228
4527,Technology,region_22,Master's & above,m,other,1,48,1.0,15,0,80.0,0,228
9036,Analytics,region_5,Master's & above,m,other,2,36,3.0,7,0,85.0,0,204
2954,Procurement,region_2,Bachelor's,f,other,1,27,3.0,4,0,73.0,0,159
693,Sales & Marketing,region_2,,m,sourcing,1,42,1.0,4,0,49.0,0,206
13741,Legal,region_2,Bachelor's,m,sourcing,1,49,5.0,18,0,60.0,0,139
8691,Finance,region_25,Bachelor's,m,other,1,32,5.0,6,0,57.0,1,181
7714,Operations,region_4,Bachelor's,m,sourcing,1,45,3.0,3,0,62.0,0,204
14332,Operations,region_26,Bachelor's,f,other,1,34,3.0,4,0,57.0,0,158
